Description,Amount,Date
Coffee Shop,2772,2023-05-13
OTT Subscription,1011,2023-12-29
Coffee Shop,2233,2023-01-14
Online Course,2565,2023-12-02
Magazine Subscription,2536,2023-03-12
Music Streaming,2051,2023-09-03
OTT Subscription,2048,2023-03-09
Gaming Subscription,2106,2023-09-30
Magazine Subscription,1639,2023-05-15
Meal Subscription,2664,2023-11-05
E-Book Purchase,2599,2023-05-03
TV Subscription,1064,2023-02-19
Fitness App Subscription,130,2023-04-04
TV Subscription,2432,2023-06-02
OTT Subscription,118,2023-04-07
Grocery Purchase,2642,2023-08-21
Online Course,1451,2023-06-10
Magazine Subscription,2639,2023-03-21
E-Book Purchase,2099,2023-11-01
Fitness App Subscription,1139,2023-06-10
Magazine Subscription,1479,2023-02-11
Vacation Hotel,19,2023-07-09
Coffee Shop,468,2023-08-31
Fitness App Subscription,2935,2023-06-22
Laptop Purchase,1430,2023-09-10
Magazine Subscription,2737,2023-06-12
Gym Membership,1388,2023-01-22
Meal Subscription,2782,2023-01-20
Vacation Hotel,1453,2023-04-12
Vacation Hotel,2215,2023-09-25
Magazine Subscription,857,2023-02-28
Dinner Out,2004,2023-04-25
Vacation Hotel,290,2023-05-13
TV Subscription,1022,2023-05-06
OTT Subscription,583,2023-01-29
Meal Subscription,1250,2023-12-21
Meal Subscription,2426,2023-01-20
OTT Subscription,1938,2023-10-23
Laptop Purchase,407,2023-04-14
Online Course,337,2023-06-23
Coffee Shop,285,2023-05-02
Online Course,1855,2023-01-03
Meal Subscription,817,2023-12-03
Vacation Hotel,2704,2023-06-01
Online Course,171,2023-10-20
OTT Subscription,2585,2023-01-19
Dinner Out,706,2023-05-12
Music Streaming,2027,2023-03-04
Gym Membership,1917,2023-07-23
Gym Membership,693,2023-04-25
E-Book Purchase,1404,2023-06-22
E-Book Purchase,1016,2023-04-15
Gaming Subscription,1909,2023-10-12
TV Subscription,903,2023-03-29
Magazine Subscription,2729,2023-07-19
TV Subscription,1989,2023-09-06
Magazine Subscription,295,2023-06-16
OTT Subscription,1025,2023-12-29
Meal Subscription,1669,2023-06-26
Magazine Subscription,2992,2023-01-04
TV Subscription,560,2023-08-25
Magazine Subscription,2639,2023-12-25
Coffee Shop,1975,2023-01-18
Online Course,1215,2023-01-10
Fitness App Subscription,384,2023-03-25
TV Subscription,515,2023-04-25
Gym Membership,831,2023-05-19
Meal Subscription,1382,2023-05-23
Grocery Purchase,186,2023-03-13
Gaming Subscription,2219,2023-10-22
Magazine Subscription,2621,2023-02-14
OTT Subscription,758,2023-02-03
Grocery Purchase,225,2023-07-08
TV Subscription,857,2023-12-01
Meal Subscription,125,2023-04-08
Laptop Purchase,1795,2023-01-13
Cloud Storage,884,2023-04-05
Fitness App Subscription,1282,2023-08-31
Online Course,2933,2023-12-23
Coffee Shop,309,2023-10-08
Online Course,2755,2023-03-17
Magazine Subscription,1305,2023-06-15
Magazine Subscription,349,2023-06-26
Online Course,1332,2023-02-27
Online Course,235,2023-10-17
TV Subscription,2689,2023-02-11
Dinner Out,1766,2023-05-26
Cloud Storage,47,2023-07-07
Magazine Subscription,1401,2023-09-07
Magazine Subscription,2246,2023-07-02
Gaming Subscription,2147,2023-08-21
Gym Membership,2172,2023-07-14
Coffee Shop,1783,2023-11-08
Gaming Subscription,897,2023-08-02
Grocery Purchase,2770,2023-03-08
Grocery Purchase,2726,2023-12-23
OTT Subscription,534,2023-05-13
TV Subscription,1846,2023-01-04
Meal Subscription,1671,2023-02-01
Music Streaming,858,2023-10-12
Meal Subscription,1264,2023-06-07
OTT Subscription,2058,2023-05-08
E-Book Purchase,1802,2023-12-24
Meal Subscription,2076,2023-07-11
Gym Membership,344,2023-03-18
Dinner Out,993,2023-12-04
Magazine Subscription,2671,2023-06-21
Meal Subscription,2712,2023-05-19
Meal Subscription,119,2023-01-31
Meal Subscription,1749,2023-08-17
Online Course,1499,2023-01-23
OTT Subscription,2417,2023-11-30
Online Course,2756,2023-08-04
E-Book Purchase,2136,2023-04-01
E-Book Purchase,1563,2023-09-28
Magazine Subscription,2497,2023-06-06
OTT Subscription,2959,2023-09-03
Laptop Purchase,2465,2023-05-11
Grocery Purchase,2408,2023-09-07
Online Course,2680,2023-03-17
TV Subscription,962,2023-09-10
Fitness App Subscription,2517,2023-12-21
TV Subscription,1440,2023-08-30
Meal Subscription,236,2023-12-04
Online Course,2753,2023-05-05
Gym Membership,654,2023-10-09
OTT Subscription,1023,2023-07-12
TV Subscription,350,2023-08-16
Gaming Subscription,1130,2023-09-17
Magazine Subscription,2458,2023-02-22
Gaming Subscription,1780,2023-02-16
Music Streaming,1474,2023-10-03
Cloud Storage,285,2023-01-12
Dinner Out,2142,2023-01-28
Fitness App Subscription,1836,2023-11-21
Coffee Shop,1854,2023-05-22
Magazine Subscription,2340,2023-05-16
TV Subscription,777,2023-02-04
E-Book Purchase,2854,2023-01-06
OTT Subscription,1186,2023-10-08
Vacation Hotel,1479,2023-05-21
Online Course,2368,2023-10-16
Magazine Subscription,640,2023-09-16
OTT Subscription,1268,2023-04-09
Laptop Purchase,1824,2023-03-14
Vacation Hotel,1695,2023-08-16
Gaming Subscription,2774,2023-10-20
E-Book Purchase,456,2023-10-05
Music Streaming,476,2023-10-06
TV Subscription,169,2023-01-27
Coffee Shop,2714,2023-06-29
Online Course,1001,2023-01-16
Grocery Purchase,1481,2023-02-23
Gym Membership,2924,2023-04-15
Online Course,2010,2023-02-25
Grocery Purchase,2946,2023-01-26
